Watershed;Informationextension
53712131;
53713253;
537132859;
53714651;
53719235;
5371967;
53721319;
5372231;
5373235;
53733431;
5381131;
53811919;
5381449;
53849749;
541229;
54128453;
541749;
5418133;
541929;
5421153;
542123;
542169;
542465;
5424672;
5426119;
5426255;
54264499;
5491499;
549685;
56611311;
56611671;
5661369;
566682999;
566819;
582189;
5822191;
58241391;
5384291;TRUE
541283111;TRUE
541569;TRUE
542417;TRUE
5426887;TRUE
5668314;TRUE
5824615;TRUE
53711699;
53712229;
53714879;
537148899;
53716311;
53718199;
5371829;
5373165;
5373289;
5373329;
53733449;
53733469;
537343;
5373469;
53734893;
5373634;
53736819;
5373819;
5373823;
53739529;
537398;
537417;
5374239;
5374249;
537462;
537483;
5374849;
537929;
5381119;
53811699;
5381189;
538134;
538143;
5381499229;
538149929;
538219;
538229;
538249;
538415;
538429;
538445;
538463;
538483;
5384843;
538492219;
538492229;
538494;
5411159;
541169;
541219;
541349;
541451;
5414619;
541619;
5417449;
541769;
5418219;
5418229;
5418929;
5418949;
541949;
541989;
542219;
542413;
542463;
54263419;
542665;
54268219;
54268413;
54268549;
54268649;
5426885;
5426989;
549167;
549189;
54925;
549269;
549322;
549431;
549449;
549629;
549686;
5661271;
5661349;
5661389;
5661529;
5661679;
56618391;
5661849;
5662179;
566269;
566592;
56661299;
566629;
566636;
5666843;
5666881;
56669251;
5668311;
566849;
566869;
566898;
582115;
582249;
5822885;
582449;
5824613;
5825229;
6741467;
6743217;
